product_id,product_name,category,subcategory,cost_price
PROD001,Leather Dress Belt,Clothing,Belt,35.0
PROD002,Slim Fit Denim Jeans,Clothing,Jeans,59.99
PROD003,High-Speed Countertop Blender,Home,Blender,89.99
PROD004,Running Sneakers,Clothing,Sneakers,85.0
PROD005,  Fleece Pullover Hoodie  ,Clothing,Hoodie,45.0
PROD006,Wide Brim Sun Hat,Clothing,Hat,24.5
PROD007,Ergonomic Wireless Mouse,Electronics,Mouse,49.99
PROD008,Summer Floral Dress,Clothing,Dress,49.99
PROD009,Fleece Pullover Hoodie,Clothing,Hoodie,45.0
PROD010,Smartphone X,Electronics,X,800.0
PROD011,Fleece Pullover Hoodie,Clothing,Hoodie,45.0
PROD012,The Midnight Mystery Fiction Novel,Books,Novel,14.99
PROD013,eRGoNoMIc wiReLEsS moUse,Electronics,Mouse,49.99
PROD014,wirelesS HEaDPhOneS,Electronics,Headphones,150.0
PROD015,Financial Freedom Guide,Books,Guide,22.0
PROD016,Wide Brim Sun Hat,Clothing,Hat,24.5
PROD017,  Intro to Python Programming Textbook  ,Books,Textbook,49.99
PROD018,Memory Foam Pillow,Home,Pillow,35.0
PROD019,Beyond The Stars Sci-Fi Book,Books,Book,16.5
PROD020,USB-C Charger Hub,Electronics,Hub,29.99
PROD021,Smartphone X,Electronics,X,800.0
PROD022,wide bRiM SuN hAt,Clothing,Hat,24.5
PROD023,smaRTwATcH sPOrt,Electronics,Sport,250.0
PROD024,Memory Foam Pillow,Home,Pillow,35.0
PROD025,Slim Fit Denim Jeans,Clothing,Jeans,59.99
PROD026,Slim Fit Denim Jeans,Clothing,Jeans,59.99
PROD027,High-Speed Countertop Blender,Home,Blender,89.99
PROD028,Bluetooth Speaker,Electronics,Speaker,75.0
PROD029,High-Speed Countertop Blender,Home,Blender,89.99
PROD030,Drip Coffee Maker,Home,Maker,49.99
PROD031,Unbroken Spirit Biography,Books,Biography,19.99
PROD032,Boho Area Rug,Home,Rug,75.0
PROD033,Beyond The Stars Sci-Fi Book,Books,Book,16.5
PROD034,Organic Cotton Towel Set,Home,Set,40.0
PROD035,Daily Habits Self-Help Book,Books,Book,15.0
PROD036,Cordless Stick Vacuum,Home,Vacuum,199.99
PROD037,4K Monitor 27,Electronics,27,350.0
PROD038,Wide Brim Sun Hat,Clothing,Hat,24.5
PROD039,  Echoes in the Dark Mystery Novel  ,Books,Novel,12.99
PROD040,2-Slice Retro Toaster,Home,Toaster,39.99
PROD041,HEPA Air Purifier,Home,Purifier,120.0
PROD042,  Organic Cotton Towel Set  ,Home,Set,40.0
PROD043,Slim Fit Denim Jeans,Clothing,Jeans,59.99
PROD044,Intro to Python Programming Textbook,Books,Textbook,49.99
PROD045,Wide Brim Sun Hat,Clothing,Hat,24.5
PROD046,Intro to Python Programming Textbook,Books,Textbook,49.99
PROD047,4K Monitor 27,Electronics,27,350.0
PROD048,Running Sneakers,Clothing,Sneakers,85.0
PROD049,Boho Area Rug,Home,Rug,75.0
PROD050,Memory Foam Pillow,Home,Pillow,35.0
PROD051,Cordless Stick Vacuum,Home,Vacuum,199.99
PROD052,HEPA Air Purifier,Home,Purifier,120.0
PROD053,Smartwatch Sport,Electronics,Sport,250.0
PROD054,Waterproof Winter Jacket,Clothing,Jacket,120.0
PROD055,History of the Modern World,Books,World,35.0
PROD056,High-Speed Countertop Blender,Home,Blender,89.99
PROD057,Adjustable LED Desk Lamp,Home,Lamp,29.99
PROD058,Drip Coffee Maker,Home,Maker,49.99
PROD059,  Running Sneakers  ,Clothing,Sneakers,85.0
PROD060,Mechanical Keyboard,Electronics,Keyboard,89.99
